SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,LEAF_ANGLE,GPS,GPS,GPS,GPS,GPS,GPS,GPS,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,14:29:58,2024-05-13,DURIN config,Nicole Bison,,24159,,,0.397606,2.917433,0.349917,3.958200,1.709344,1.598417,2.823682,1.114338,15.860855,16.961561,28.018970,0.441786,PSF-00189_20240513142958,0.000000,0.000000,0.000000,96.269135,391.450867,0.754071,0.5,0.80,17.633593,56.00,52.37,24.32,23.02,100.78,156.2,156.0,0.1,58,3.569,6,179,78,,,173.92,-92.52,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.002,-0.001,-9999.000,0.059,0.030,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.449562,2.519570,1.651345,0.930850,0.280283,-0.013764,0.176314,0.156483,96.269135,0.000453,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513142958,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
10,14:31:37,2024-05-13,DURIN config,Nicole Bison,,27375,,,0.370910,2.916006,0.329055,4.172160,1.714220,1.597171,2.962361,1.248141,15.848367,17.009817,29.394840,0.441786,PSF-00189_20240513143137,0.000000,0.000000,0.000000,82.335594,377.450470,0.781864,0.5,0.80,20.226339,55.57,51.77,24.49,23.82,100.78,156.0,152.3,2.4,65,3.569,7,-176,87,,,171.94,-122.85,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,0.001,0.003,-9999.000,-0.025,0.064,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448717,2.518898,1.649851,0.921506,0.278288,-0.006617,0.185922,0.161699,82.335594,0.000441,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143137,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
11,14:33:39,2024-05-13,DURIN config,Nicole Bison,,39493,,,0.300367,2.917209,0.272327,3.727506,1.699757,1.595255,3.046840,1.347082,15.827589,16.864428,30.229734,0.441786,PSF-00189_20240513143339,0.000000,0.000000,0.000000,92.402458,411.041382,0.775199,0.5,0.80,19.038624,54.42,51.07,24.70,24.29,100.79,156.1,155.3,0.5,61,3.601,5,-178,86,,,174.62,-115.83,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.002,-0.002,-9999.000,0.139,-0.009,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447728,2.517203,1.651110,0.929173,0.275990,-0.003581,0.197594,0.158950,92.402458,0.000449,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143339,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
12,14:35:15,2024-05-13,DURIN config,Nicole Bison,,33900,,,0.222121,2.917430,0.206406,2.678926,1.669611,1.594494,2.947830,1.278219,15.819489,16.564753,29.246378,0.441786,PSF-00189_20240513143515,0.000000,0.000000,0.000000,122.792961,399.090881,0.692318,0.5,0.80,15.252701,52.95,50.57,24.86,23.74,100.79,156.2,149.2,4.5,55,3.599,-4,-176,75,,,174.35,120.07,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:24:04,2024-05-13,-0.68,-0.001,-0.003,-9999.000,1.360,2.533,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447021,2.515069,1.651341,0.913687,0.274272,-0.011871,0.206490,0.153643,122.792961,0.000452,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143515,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
13,14:36:56,2024-05-13,DURIN config,Nicole Bison,,35802,,,0.151110,2.916884,0.143667,1.997989,1.629650,1.573582,2.999124,1.369475,15.612831,16.169125,29.756832,0.441786,PSF-00189_20240513143656,0.000000,0.000000,0.000000,122.610924,439.599762,0.721085,0.5,0.80,18.449345,51.14,49.38,25.04,24.02,100.79,156.1,154.5,1.0,64,3.599,7,-178,81,,,172.72,-114.99,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,0.001,0.000,-9999.000,-5.380,-2.212,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445381,2.512364,1.650770,0.927166,0.272342,-0.010611,0.215723,0.161103,122.610924,0.000459,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143656,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
14,14:38:49,2024-05-13,DURIN config,Nicole Bison,,28762,,,0.113673,2.918459,0.109412,1.517796,1.602502,1.559950,2.968978,1.366476,15.477307,15.899494,29.457214,0.441786,PSF-00189_20240513143849,0.000000,0.000000,0.000000,171.488647,487.335907,0.648110,0.5,0.80,13.200415,49.87,48.55,25.18,23.85,100.79,156.3,155.3,0.6,51,3.598,-7,179,277,,,172.93,-91.15,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,-0.001,-0.003,-9999.000,-8.052,-8.842,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.444219,2.510495,1.652421,0.929215,0.270815,-0.014246,0.225762,0.150151,171.488647,0.000419,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513143849,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
15,14:40:39,2024-05-13,DURIN config,Nicole Bison,,26204,,,0.139650,2.918394,0.133272,1.759256,1.611041,1.561724,2.911600,1.300559,15.495595,15.984928,28.889215,0.441786,PSF-00189_20240513144039,0.000000,0.000000,0.000000,87.164642,433.023346,0.798707,0.5,0.80,22.355650,49.75,48.22,25.31,23.53,100.79,156.3,146.4,6.4,70,3.597,7,179,29,,,172.93,-142.85,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,-0.002,-0.003,-9999.000,0.013,0.105,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443750,2.510280,1.652353,0.906590,0.269395,-0.019588,0.235230,0.166150,87.164642,0.000456,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513144039,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
16,14:42:41,2024-05-13,DURIN config,Nicole Bison,,32196,,,0.026256,2.917806,0.026021,0.427009,1.523342,1.511357,3.138838,1.615496,14.996927,15.115859,31.146143,0.441786,PSF-00189_20240513144241,0.000000,0.000000,0.000000,103.776459,444.590454,0.766580,0.5,0.80,18.551340,46.72,46.35,25.42,24.78,100.78,156.2,146.4,6.3,61,3.597,-1,179,70,,,178.59,25.00,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,0.001,0.002,-9999.000,-0.531,-1.183,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.441185,2.505863,1.651736,0.906818,0.268161,-0.006281,0.245585,0.158195,103.776459,0.000429,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513144241,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
17,14:50:35,2024-05-13,DURIN config,Nicole Bison,,22612,,,0.136602,2.916791,0.130491,1.830938,1.505904,1.454461,2.889108,1.383204,14.432259,14.942714,28.667904,0.441786,PSF-00189_20240513145035,0.000000,0.000000,0.000000,91.788773,412.685394,0.777582,0.5,0.80,20.670021,45.38,43.83,25.72,23.40,100.78,156.1,144.4,7.5,66,3.593,0,176,90,,,176.00,0.00,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:35:29,2024-05-13,-0.64,-0.000,-0.000,0.008,-0.302,-0.721,-2.165,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.437685,2.503846,1.650673,0.901807,0.265028,-0.025948,0.283634,0.163196,91.788773,0.000438,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513145035,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
18,14:53:51,2024-05-13,DURIN config,Nicole Bison,,22702,,,0.017584,2.918306,0.017478,0.330765,1.464477,1.455190,3.326487,1.862009,14.438204,14.530348,33.004951,0.441786,PSF-00189_20240513145351,0.000000,0.000000,0.000000,92.898849,412.789459,0.774949,0.5,0.80,16.456938,43.91,43.64,25.80,25.76,100.79,156.3,155.5,0.5,53,3.766,-12,-178,57,,,167.84,66.53,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:50:50,2024-05-13,-0.49,0.002,0.002,-9999.000,0.132,0.275,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.437400,2.501473,1.652261,0.929744,0.264148,0.000778,0.298597,0.151974,92.898849,0.000526,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513145351,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
19,14:56:05,2024-05-13,DURIN config,Nicole Bison,,36145,,,0.030705,2.916455,0.030385,0.462809,1.447318,1.434302,2.949088,1.501769,14.230103,14.359241,29.258707,0.441786,PSF-00189_20240513145605,0.000000,0.000000,0.000000,90.911148,432.903534,0.789997,0.5,0.80,15.268959,43.20,42.81,25.88,23.74,100.79,156.1,152.0,2.6,48,3.768,-8,178,91,,,171.76,76.91,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:50:50,2024-05-13,-0.49,-0.000,0.001,-9999.000,-0.069,-0.259,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.436259,2.500413,1.650320,0.920774,0.263348,-0.023881,0.308881,0.147969,90.911148,0.000543,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513145605,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
20,14:59:16,2024-05-13,DURIN config,Nicole Bison,,27387,,,0.020385,2.917610,0.020243,0.320025,1.462307,1.453315,3.020393,1.558086,14.418023,14.507226,29.964661,0.441786,PSF-00189_20240513145916,0.000000,0.000000,0.000000,88.656303,421.662933,0.789746,0.5,0.80,18.695242,43.47,43.20,25.95,24.14,100.80,156.2,154.6,1.1,59,3.757,-1,-177,70,,,176.84,141.58,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:50:50,2024-05-13,-0.49,0.000,0.001,-9999.000,0.038,0.462,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.436770,2.500782,1.651530,0.927266,0.262596,-0.020094,0.322620,0.157088,88.656303,0.000544,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513145916,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
21,15:01:46,2024-05-13,DURIN config,Nicole Bison,,20840,,,0.030787,2.917285,0.030466,0.538150,1.493429,1.478310,3.232202,1.738773,14.666138,14.816132,32.066288,0.441786,PSF-00189_20240513150146,0.000000,0.000000,0.000000,94.102982,400.580750,0.765084,0.5,0.80,18.788107,44.11,43.66,26.06,25.28,100.80,156.2,154.9,0.8,61,3.761,4,-177,57,,,175.00,-159.92,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,14:50:50,2024-05-13,-0.49,0.000,-0.000,-9999.000,-0.285,-0.717,-9999.000,1,150,0.005,2.000000,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.437386,2.501704,1.651189,0.928262,0.261481,-0.008017,0.333006,0.158944,94.102982,0.000545,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240513150146,PFA-00183,PSA-00195,PSF-00189,RHS-00549,2.0.0,2023-06-15T18:05:35.947Z
