"trait","species","model","AIC_val","R2","p_val"
"GRT","B. officinalis","X ~ N",-187.426770381045,0.231414953507705,0.00257802479354045
"GRT","B. officinalis","X ~ N**2",-187.426770381045,0.231414953507705,0.00257802479354045
"GRT","B. officinalis","X ~ N**3",-187.426770381045,0.231414953507705,0.00257802479354045
"GRT","B. officinalis","X ~ log(N)",-189.676644274579,0.276758045356603,0.000825085904474029
"GRT","B. officinalis","X ~ exp(N)",-178.500540718949,0.0217153579260022,0.384101511929273
"GRT","B. officinalis","X ~ sqrt(N)",-191.468670329779,0.310952173293478,0.000336317151075751
"LMA","H. vulgare","X ~ N",26.8847226828662,0.139694495301352,0.0951145137403111
"LMA","H. vulgare","X ~ N**2",26.8847226828662,0.139694495301352,0.0951145137403111
"LMA","H. vulgare","X ~ N**3",26.8847226828662,0.139694495301352,0.0951145137403111
"LMA","H. vulgare","X ~ log(N)",28.0141285945271,0.0921594131218476,0.180957724407196
"LMA","H. vulgare","X ~ exp(N)",27.1028661804765,0.130711248927726,0.107320617364568
"LMA","H. vulgare","X ~ sqrt(N)",27.4264537189837,0.117212707099331,0.128717768715236
"LDMC","H. vulgare","X ~ N",191.957309372762,0.0801557033870404,0.213646212813023
"LDMC","H. vulgare","X ~ N**2",191.957309372762,0.0801557033870404,0.213646212813023
"LDMC","H. vulgare","X ~ N**3",191.957309372762,0.0801557033870404,0.213646212813023
"LDMC","H. vulgare","X ~ log(N)",191.751661536628,0.0891195503862977,0.188685821466303
"LDMC","H. vulgare","X ~ exp(N)",192.774040935982,0.0436763592513337,0.363265169922051
"LDMC","H. vulgare","X ~ sqrt(N)",191.86196598375,0.0843224788654555,0.20161993372204
"area_cm2","H. vulgare","X ~ N",233.147821872539,0.109627264707264,0.14261879540483
"area_cm2","H. vulgare","X ~ N**2",233.147821872539,0.109627264707264,0.14261879540483
"area_cm2","H. vulgare","X ~ N**3",233.147821872539,0.109627264707264,0.14261879540483
"area_cm2","H. vulgare","X ~ log(N)",229.641457135425,0.246544145292854,0.02204399789689
"area_cm2","H. vulgare","X ~ exp(N)",235.291792356423,0.0139234275055226,0.610466472479547
"area_cm2","H. vulgare","X ~ sqrt(N)",231.648380503749,0.170985033368819,0.0624236242259788
"CHL","H. vulgare","X ~ N",138.199521316727,0.0852378504949559,0.199078984916054
"CHL","H. vulgare","X ~ N**2",138.199521316727,0.0852378504949559,0.199078984916054
"CHL","H. vulgare","X ~ N**3",138.199521316727,0.0852378504949559,0.199078984916054
"CHL","H. vulgare","X ~ log(N)",136.153159679362,0.170172130339405,0.0631126624461558
"CHL","H. vulgare","X ~ exp(N)",140.033785742547,0.00174374626030777,0.857372203473901
"CHL","H. vulgare","X ~ sqrt(N)",137.300670230721,0.123565780119239,0.118152240178019
"GRT","H. vulgare","X ~ N",-85.2667137114736,0.0088312073436579,0.685349467723519
"GRT","H. vulgare","X ~ N**2",-85.2667137114736,0.0088312073436579,0.685349467723519
"GRT","H. vulgare","X ~ N**3",-85.2667137114736,0.0088312073436579,0.685349467723519
"GRT","H. vulgare","X ~ log(N)",-86.9016348465051,0.08306970239608,0.205155349747031
"GRT","H. vulgare","X ~ exp(N)",-85.7704388287381,0.0323234053026347,0.435493738109489
"GRT","H. vulgare","X ~ sqrt(N)",-85.826168166734,0.0348879997233373,0.417533267372737
