SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
9,14:55:57,2024-05-14,DURIN config,Nicole Bison,,27057,,,-0.004059,2.916769,-0.004065,-0.061205,1.497832,1.499559,2.987954,1.490123,14.817849,14.800782,29.525387,0.441786,7.500000,PSF-00189_20240514145557_f91,0.000000,0.000000,0.000000,103.278282,394.297607,0.738070,0.5,0.80,13.953961,1.000000,47.57,47.62,24.84,23.96,23.96,101.20,156.1,155.6,0.3,47,3.799,14:53:47,2024-05-14,-0.60,1,-0.001,-0.000,-9999.000,0.339,0.020,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443043,2.507182,1.650649,0.929957,0.274504,-0.008993,0.243657,0.147083,103.278282,0.000445,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514145557_f91,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
10,14:58:36,2024-05-14,DURIN config,Nicole Bison,,30786,,,-0.000218,2.918678,-0.000218,-0.003397,1.538517,1.538613,3.081588,1.543071,15.203080,15.202135,30.449272,0.441786,7.500000,PSF-00189_20240514145836_724,0.000000,0.000000,0.000000,108.081940,440.094360,0.754412,0.5,0.80,12.552193,1.000000,48.48,48.48,24.97,24.48,24.48,101.20,156.3,155.6,0.5,42,3.796,14:53:47,2024-05-14,-0.60,1,-0.001,0.000,-9999.000,0.040,0.005,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.444181,2.508478,1.652652,0.929811,0.273085,-0.004493,0.257538,0.142323,108.081940,0.000428,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514145836_724,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
11,15:00:07,2024-05-14,DURIN config,Nicole Bison,,38114,,,0.043173,2.916111,0.042543,0.736417,1.576519,1.555745,3.286093,1.709574,15.373813,15.579099,32.473038,0.441786,7.500000,PSF-00189_20240514150007_fa7,0.000000,0.000000,0.000000,126.246933,449.597961,0.719200,0.5,0.80,14.517357,1.000000,49.44,48.79,25.05,25.55,25.55,101.19,156.0,154.4,1.1,50,3.800,14:53:47,2024-05-14,-0.60,1,-0.000,-0.001,-9999.000,0.420,-0.403,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.444580,2.509852,1.649960,0.926808,0.272223,0.007324,0.265277,0.149768,126.246933,0.000432,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514150007_fa7,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
12,15:06:46,2024-05-14,DURIN config,Nicole Bison,,36912,,,0.000182,2.917509,0.000182,0.002730,1.623533,1.623456,3.104165,1.480632,16.041574,16.042336,30.672657,0.441786,7.500000,PSF-00189_20240514150646_4e5,0.000000,0.000000,0.000000,102.186440,415.228119,0.753903,0.5,0.80,12.634412,1.000000,50.22,50.22,25.28,24.60,24.60,101.20,156.2,131.8,15.6,42,3.786,14:53:47,2024-05-14,-0.60,1,0.000,0.000,-9999.000,-0.095,-0.192,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.446445,2.510913,1.651424,0.870981,0.269710,-0.006755,0.297530,0.142576,102.186440,0.000439,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514150646_4e5,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
13,15:10:29,2024-05-14,DURIN config,Nicole Bison,,31841,,,-0.003853,2.918172,-0.003858,-0.054308,1.656589,1.658117,3.048160,1.391572,16.384474,16.369371,30.120012,0.441786,7.500000,PSF-00189_20240514151029_073,0.000000,0.000000,0.000000,107.217552,430.091492,0.750710,0.5,0.80,13.749725,1.000000,51.00,51.05,25.36,24.29,24.29,101.20,156.3,155.2,0.7,46,3.811,15:07:05,2024-05-14,-0.63,1,0.001,-0.002,-9999.000,-0.398,0.243,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.447541,2.512065,1.652121,0.928858,0.268857,-0.011272,0.314368,0.145844,107.217552,0.000445,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514151029_073,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
14,15:15:30,2024-05-14,DURIN config,Nicole Bison,,35106,,,0.001363,2.916625,0.001362,0.018018,1.739977,1.739470,3.046879,1.306901,17.189245,17.194258,30.108908,0.441786,7.500000,PSF-00189_20240514151530_942,0.000000,0.000000,0.000000,117.231133,456.410767,0.743146,0.5,0.80,10.724385,1.000000,53.32,53.30,25.44,24.29,24.29,101.20,156.1,155.3,0.5,36,3.806,15:07:05,2024-05-14,-0.63,1,-0.001,-0.001,-9999.000,-1.205,-2.498,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.450542,2.515375,1.650498,0.929041,0.268022,-0.012281,0.336250,0.137690,117.231133,0.000439,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514151530_942,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
15,15:20:55,2024-05-14,DURIN config,Nicole Bison,,34680,,,0.023453,2.918097,0.023266,0.395089,1.714063,1.702951,3.389184,1.675121,16.828493,16.938305,33.491783,0.441786,7.500000,PSF-00189_20240514152055_723,0.000000,0.000000,0.000000,107.613083,446.320648,0.758888,0.5,0.80,9.389349,1.000000,52.25,51.91,25.53,26.07,26.07,101.19,156.3,155.2,0.6,31,3.767,15:07:05,2024-05-14,-0.63,1,0.000,0.002,-9999.000,0.125,0.367,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.448659,2.513818,1.652042,0.929025,0.267075,0.007845,0.358636,0.133369,107.613083,0.000431,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514152055_723,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
16,15:26:23,2024-05-14,DURIN config,Nicole Bison,,34122,,,-0.009439,2.917167,-0.009470,-0.141151,1.662030,1.666005,3.134763,1.472733,16.461569,16.422287,30.974155,0.441786,7.500000,PSF-00189_20240514152623_db9,0.000000,0.000000,0.000000,106.099251,447.352753,0.762829,0.5,0.80,9.698566,1.000000,50.29,50.41,25.65,24.76,24.76,101.21,156.1,155.6,0.4,32,3.791,15:21:13,2024-05-14,-0.65,1,0.000,0.001,-9999.000,-0.015,0.077,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.446615,2.510993,1.651066,0.929853,0.265744,-0.009240,0.379961,0.134086,106.099251,0.000427,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514152623_db9,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
17,15:28:58,2024-05-14,DURIN config,Nicole Bison,,31552,,,-0.008048,2.917666,-0.008071,-0.144031,1.647701,1.651757,3.408881,1.761180,16.319296,16.279222,33.679607,0.441786,7.500000,PSF-00189_20240514152858_33a,0.000000,0.000000,0.000000,108.325836,434.485321,0.750680,0.5,0.80,11.366217,1.000000,49.78,49.90,25.68,26.17,26.17,101.21,156.2,154.2,1.3,38,3.790,15:21:13,2024-05-14,-0.65,1,-0.001,-0.001,-9999.000,-0.707,-2.508,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445932,2.510258,1.651590,0.926297,0.265486,0.007229,0.389686,0.139181,108.325836,0.000428,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514152858_33a,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
18,15:31:48,2024-05-14,DURIN config,Nicole Bison,,36432,,,0.029677,2.917305,0.029378,0.431091,1.645329,1.633187,3.095613,1.450283,16.137253,16.257231,30.587242,0.441786,7.500000,PSF-00189_20240514153148_368,0.000000,0.000000,0.000000,114.798904,450.723053,0.745301,0.5,0.80,11.786868,1.000000,49.60,49.24,25.71,24.55,24.55,101.21,156.2,155.2,0.6,40,3.756,15:21:13,2024-05-14,-0.65,1,0.000,0.001,-9999.000,-0.103,-0.254,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.445028,2.509994,1.651210,0.929036,0.265107,-0.012432,0.400064,0.140595,114.798904,0.000438,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514153148_368,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
19,15:36:15,2024-05-14,DURIN config,Nicole Bison,,35469,,,0.007339,2.917049,0.007320,0.112626,1.637032,1.633858,3.157189,1.520157,16.144487,16.175842,31.196823,0.441786,7.500000,PSF-00189_20240514153615_afa,0.000000,0.000000,0.000000,131.111389,468.380920,0.720075,0.5,0.80,14.709849,1.000000,49.05,48.96,25.81,24.88,24.88,101.20,156.1,152.1,2.6,51,3.782,15:32:13,2024-05-14,-0.58,1,0.001,0.002,-9999.000,1.368,-0.624,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.444631,2.509078,1.650942,0.920918,0.264029,-0.009768,0.415708,0.150278,131.111389,0.000441,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514153615_afa,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
20,15:38:36,2024-05-14,DURIN config,Nicole Bison,,35469,,,-0.002278,2.916968,-0.002280,-0.035215,1.626829,1.627821,3.153294,1.526465,16.084475,16.074671,31.157644,0.441786,7.500000,PSF-00189_20240514153836_a5e,0.000000,0.000000,0.000000,105.172638,416.074646,0.747227,0.5,0.80,15.674072,1.000000,48.64,48.67,25.85,24.86,24.86,101.20,156.1,155.7,0.3,52,3.779,15:32:13,2024-05-14,-0.58,1,0.000,0.003,-9999.000,-0.331,0.281,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.444229,2.508467,1.650858,0.930156,0.263628,-0.010468,0.423651,0.151429,105.172638,0.000425,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514153836_a5e,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
21,15:43:04,2024-05-14,DURIN config,Nicole Bison,,38450,,,0.037092,2.917459,0.036627,0.602252,1.620290,1.603325,3.244403,1.624113,15.842463,16.010098,32.057976,0.441786,7.500000,PSF-00189_20240514154304_823,0.000000,0.000000,0.000000,118.650909,455.814972,0.739695,0.5,0.80,9.598534,1.000000,48.29,47.78,25.91,25.34,25.34,101.20,156.2,155.6,0.4,32,3.743,15:32:13,2024-05-14,-0.58,1,-0.002,0.001,-9999.000,-0.769,-1.396,-9999.000,1,150,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,0,rectangular,7000,500,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.443020,2.507946,1.651372,0.929810,0.263057,-0.005463,0.438171,0.134637,118.650909,0.000441,2.368202,-0.000033,1.000000,2.426428,-0.000040,1.000000,0.602049,0.601182,0.107400,0.000000,PSF-00189_20240514154304_823,PFA-00183,PSA-00195,PSF-00189,RHS-00549,3.0.0,2023-06-15T18:05:35.947Z
