"trait","species","model","AIC","R2","p_val"
"LMA","H. vulgare","sqrt(X) ~ N",-29.9168536033139,0.144018768085945,0.0897455852724597
"LMA","H. vulgare","X ~ sqrt(N)",27.4264537189837,0.117212707099331,0.128717768715236
"LMA","H. vulgare","sqrt(X) ~ sqrt(N)",-29.3888655008187,0.122224609736391,0.120306192792469
"LDMC","H. vulgare","X ~ N",191.957309372762,0.0801557033870404,0.213646212813023
"LDMC","H. vulgare","log(X) ~ N",-21.1114896145395,0.0757403981664615,0.227265856685238
"LDMC","H. vulgare","X ~ log(N)",191.751969913511,0.0891061743607516,0.188720605571005
"LDMC","H. vulgare","log(X) ~ log(N)",-21.3585794205084,0.0865516756973631,0.19549302067386
"LDMC","H. vulgare","sqrt(X) ~ N",56.2340761186443,0.078015210126805,0.220131523923687
"LDMC","H. vulgare","X ~ sqrt(N)",191.86196598375,0.0843224788654555,0.20161993372204
"LDMC","H. vulgare","sqrt(X) ~ sqrt(N)",56.1274104517266,0.0826863903327314,0.206250664354105
"area_cm2","H. vulgare","X ~ N",233.147821872539,0.109627264707264,0.14261879540483
"area_cm2","H. vulgare","log(X) ~ N",-5.57056437486787,0.143381668061214,0.0905171546803447
"area_cm2","H. vulgare","X ~ log(N)",229.644807101412,0.246423942777742,0.0220814848497481
"area_cm2","H. vulgare","log(X) ~ log(N)",-9.94711950312451,0.304531945428082,0.0094986822998355
"area_cm2","H. vulgare","sqrt(X) ~ N",84.4675455711207,0.126158899446604,0.114098494634595
"area_cm2","H. vulgare","X ~ sqrt(N)",231.648380503749,0.170985033368819,0.0624236242259788
"area_cm2","H. vulgare","sqrt(X) ~ sqrt(N)",82.7929492330679,0.193135402476781,0.0462229453879127
"CHL","H. vulgare","X ~ N",138.199521316727,0.0852378504949559,0.199078984916054
"CHL","H. vulgare","log(X) ~ N",-8.84987348550557,0.107199794596461,0.147389708080934
"CHL","H. vulgare","X ~ log(N)",136.155035485428,0.170098003402513,0.0631758624729676
"CHL","H. vulgare","log(X) ~ log(N)",-11.1841595177031,0.201123517286969,0.0414440331564269
"CHL","H. vulgare","sqrt(X) ~ N",35.377139944029,0.096272015380575,0.171039797330303
"CHL","H. vulgare","X ~ sqrt(N)",137.300670230721,0.123565780119239,0.118152240178019
"CHL","H. vulgare","sqrt(X) ~ sqrt(N)",34.4061727693978,0.137105978579457,0.0984810152047562
"Phi_PS2","H. vulgare","X ~ N",-109.028391013068,0.0405194771024607,0.381590827323362
"Phi_PS2","H. vulgare","log(X) ~ N",-96.5123045167457,0.041904949908837,0.37340002314306
"Phi_PS2","H. vulgare","X ~ log(N)",-108.397026433096,0.0112346970594888,0.647473918287994
"Phi_PS2","H. vulgare","log(X) ~ log(N)",-95.8686416764467,0.0120840713121231,0.635252393542486
"Phi_PS2","H. vulgare","sqrt(X) ~ N",-131.601215361033,0.0412177873652094,0.377432690660826
"Phi_PS2","H. vulgare","X ~ sqrt(N)",-108.685838574829,0.0247400636122304,0.495926278306987
"Phi_PS2","H. vulgare","sqrt(X) ~ sqrt(N)",-131.255953445063,0.0253241108873197,0.490818850209765
"GRT","H. vulgare","X ~ N",-85.2667137114736,0.0088312073436579,0.685349467723519
"GRT","H. vulgare","log(X) ~ N",29.9055706192286,0.0322322458205778,0.43615261739687
"GRT","H. vulgare","X ~ log(N)",-86.8995099807547,0.0829769189503929,0.205419889610959
"GRT","H. vulgare","log(X) ~ log(N)",27.175218045601,0.150221824095616,0.0825672630648318
"GRT","H. vulgare","sqrt(X) ~ N",-53.7819929543974,0.0209009373963708,0.531812821573573
"GRT","H. vulgare","X ~ sqrt(N)",-85.826168166734,0.0348879997233373,0.417533267372737
"GRT","H. vulgare","sqrt(X) ~ sqrt(N)",-54.6002044898332,0.0583154264555376,0.291620201102642
